Year,Month,Day,Hour,Hs (m),v10 (m/s)
2008,2,3,0,4.117306201,16.63488403
2008,2,3,6,3.913509638,15.33445792
2008,2,3,12,3.852396564,14.90696897
2008,2,3,18,3.042389383,7.227928468
2008,2,4,0,3.315326585,10.23070682
2008,2,4,6,4.229692108,16.11991399
2008,2,4,12,4.423907385,15.11880991
2008,2,4,18,4.548464115,13.94107957
2008,2,5,0,3.476654742,5.298199421
2008,2,5,6,2.761165662,4.572567176
2008,2,5,12,2.276404332,5.353901241
2008,2,5,18,1.929665325,4.229334923
2008,2,6,0,2.578344349,10.24731361
2008,2,6,6,3.025298439,12.47764383
2008,2,6,12,2.84351294,6.571334606
2008,2,6,18,2.626509737,9.50420054
2008,2,7,0,3.2464449,17.88067189
2008,2,7,6,4.36693757,15.80779195
2008,2,7,12,3.364786742,6.720022828
2008,2,7,18,2.910064041,5.157517527
2008,2,8,0,3.620374047,14.53433186
2008,2,8,6,4.534480616,16.84875968
2008,2,8,12,4.727660077,15.06381839
2008,2,8,18,3.713597379,6.292469235
2008,2,9,0,3.195172067,12.62010866
2008,2,9,6,3.434963196,13.85090486
2008,2,9,12,4.141388896,13.79908319
2008,2,9,18,3.886319499,4.996064822
2008,2,10,0,4.154077627,2.321286985
2008,2,10,6,4.923170123,3.310336161
2008,2,10,12,4.994900298,6.903652527
2008,2,10,18,4.391279218,6.351774109
2008,2,11,0,3.921278249,9.024002349
2008,2,11,6,3.389905252,9.179443645
2008,2,11,12,2.938031041,9.945564711
2008,2,11,18,2.499881377,7.703016101
2008,2,12,0,2.269671536,7.792255291
2008,2,12,6,2.08814499,7.416650135
2008,2,12,12,1.942095102,5.802012775
2008,2,12,18,1.849389677,3.201003423
2008,2,13,0,1.804331733,3.482878961
2008,2,13,6,1.757202159,3.21631659
2008,2,13,12,1.930442186,3.423798169
2008,2,13,18,1.633940197,2.507867752
2008,2,14,0,1.506793929,5.479515562
2008,2,14,6,1.46070017,5.940357827
2008,2,14,12,1.602606799,6.992156595
2008,2,14,18,1.454485281,4.748542394
2008,2,15,0,1.684695122,6.970116643
2008,2,15,6,1.979643389,5.882328613
2008,2,15,12,2.226426267,6.609125668
2008,2,15,18,2.317319017,5.784407897
2008,2,16,0,2.343732294,6.121035947
2008,2,16,6,2.161946795,5.308151458
2008,2,16,12,1.922932528,7.279611326
2008,2,16,18,1.763934955,4.756188539
2008,2,17,0,1.724832946,6.033933823
2008,2,17,6,1.78879451,4.485988226
2008,2,17,12,1.838513621,5.0253588
2008,2,17,18,1.92862951,3.338915151
2008,2,18,0,1.901180417,2.488088751
2008,2,18,6,1.810287668,2.222038192
2008,2,18,12,1.69220478,2.304386891
2008,2,18,18,1.622028326,3.457721328
2008,2,19,0,1.468468781,4.990220807
2008,2,19,6,1.401140818,6.217954046
2008,2,19,12,1.296782476,7.610766533
2008,2,19,18,1.312837606,6.68712465
2008,2,20,0,1.605714243,9.780244962
2008,2,20,6,2.184993675,11.86902805
2008,2,20,12,2.205451017,7.648936239
2008,2,20,18,3.034361818,14.46256057
2008,2,21,0,4.51661281,15.1774913
2008,2,21,6,5.171765677,15.83193723
2008,2,21,12,6.187123143,18.60953966
2008,2,21,18,6.731184872,16.75352418
2008,2,22,0,7.031053259,17.79114528
2008,2,22,6,7.146287657,20.45465807
2008,2,22,12,7.837435088,19.03132303
2008,2,22,18,7.707440329,16.26937502
2008,2,23,0,6.585911845,11.42079707
2008,2,23,6,5.885959988,16.78096291
2008,2,23,12,5.586350554,16.17652491
2008,2,23,18,5.186267084,12.20732831
2008,2,24,0,4.583681819,10.73895118
2008,2,24,6,4.762877781,13.95465168
2008,2,24,12,4.484761505,12.02341212
2008,2,24,18,4.490458486,12.26965338
2008,2,25,0,4.398270968,12.979712
2008,2,25,6,3.890721712,12.76017655
2008,2,25,12,4.754073355,21.30828605
2008,2,25,18,5.298135084,15.45670025
2008,2,26,0,6.180131393,17.82402256
2008,2,26,6,8.223535058,19.82963818
2008,2,26,12,8.942131582,23.15341915
2008,2,26,18,8.314945715,18.9854709
2008,2,27,0,6.160709866,13.27868811
2008,2,27,6,4.749930096,11.88243056
2008,2,27,12,3.876997166,8.852454023
2008,2,27,18,3.253695604,8.102725145
2008,2,28,0,2.966256995,10.20739205
2008,2,28,6,3.018047735,10.28899601
2008,2,28,12,3.255249326,10.6076951
2008,2,28,18,3.11774491,6.453324972
2008,3,1,0,9.034837007,21.96497862
2008,3,1,6,7.286381609,15.00783982
2008,3,1,12,5.364686185,12.28804149
2008,3,1,18,4.257400154,8.82483723
2008,3,2,0,6.402054716,17.75712862
2008,3,2,6,6.673438196,12.21850886
2008,3,2,12,5.035297076,12.08070877
2008,3,2,18,4.342595922,10.21348533
2008,3,3,0,4.445659496,9.97904609
2008,3,3,6,4.805346188,11.96444164
2008,3,3,12,4.97055865,6.922441716
2008,3,3,18,5.59515498,11.16229997
2008,3,4,0,5.475777323,11.42113003
2008,3,4,6,4.22140559,6.908929803
2008,3,4,12,3.598362982,4.662273468
2008,3,4,18,2.855683764,1.267577015
2008,3,5,0,2.411060257,8.200079404
2008,3,5,6,2.709115968,11.22540942
2008,3,5,12,3.695988528,13.33747835
2008,3,5,18,4.463268347,14.53122955
2008,3,6,0,5.099776548,15.57211497
2008,3,6,6,4.814150614,12.86605407
2008,3,6,12,4.001294943,12.22909146
2008,3,6,18,3.943548267,14.04511463
2008,3,7,0,4.16339996,11.93176762
2008,3,7,6,5.306680556,13.87513725
2008,3,7,12,6.529718891,14.75776629
2008,3,7,18,6.39739355,13.47332587
2008,3,8,0,5.528603879,14.9676266
2008,3,8,6,5.335165463,15.74193316
2008,3,8,12,5.592047536,15.89780144
2008,3,8,18,5.285446352,12.04754553
2008,3,9,0,4.962531085,11.00299675
2008,3,9,6,4.57254681,9.363012716
2008,3,9,12,4.956834104,10.68684273
2008,3,9,18,4.938448391,10.55012626
2008,3,10,0,4.836420632,15.27455276
2008,3,10,6,4.608541374,17.7144986
2008,3,10,12,3.501514297,7.988995069
2008,3,10,18,4.031333572,7.052120484
2008,3,11,0,4.62640918,10.60195858
2008,3,11,6,4.55364319,9.922542743
2008,3,11,12,3.809151296,8.672686822
2008,3,11,18,5.136030066,14.74245224
2008,3,12,0,5.625193609,7.751891897
2008,3,12,6,6.599118484,18.6735654
2008,3,12,12,6.469641633,15.20464355
2008,3,12,18,6.070593977,15.19435149
2008,3,13,0,5.506592814,11.47970247
2008,3,13,6,5.048503715,12.1557849
2008,3,13,12,4.082606405,6.763785969
2008,3,13,18,3.618561371,10.93767966
2008,3,14,0,3.820804212,11.93699789
2008,3,14,6,3.171607281,6.101476356
2008,3,14,12,2.669496052,6.698992715
2008,3,14,18,2.265269323,1.802193075
2008,3,15,0,1.979902343,1.568693546
2008,3,15,6,1.783356483,6.304859321
2008,3,15,12,1.918789269,8.125156815
2008,3,15,18,1.777141594,8.92621339
2008,3,16,0,1.757720066,9.047342374
2008,3,16,6,1.817279418,8.932033394
2008,3,16,12,1.63419915,8.027979685
2008,3,16,18,1.450600975,6.728967783
2008,3,17,0,1.462253892,7.598359868
2008,3,17,6,1.623323095,5.964187975
2008,3,17,12,1.683400354,4.765367431
2008,3,17,18,1.571532354,5.008001049
2008,3,18,0,1.560397345,5.539912042
2008,3,18,6,1.519223706,5.101088899
2008,3,18,12,1.548226521,4.714280475
2008,3,18,18,1.480380651,5.190222038
2008,3,19,0,1.372138004,4.98683502
